Colour,Model,SKU (front),SKU (back)
White,S,1,2
White,SE,3,4
White,SES,5,6
White,SEL,7,8
Beige,S,9,10
Beige,SE,11,12
Beige,SES,13,14
Beige,SEL,15,16
Red,S,17,18
Red,SE,19,20
Red,SES,21,22
Red,SEL,23,24
Green,S,25,26
Green,SE,27,28
Green,SES,29,30
Green,SEL,31,32
Blue,S,33,34
Blue,SE,35,36
Blue,SES,37,38
Blue,SEL,39,40
Black,S,41,42
Black,SE,43,44
Black,SES,45,46
Black,SEL,47,48
Birch,S,49,50
Birch,SE,51,52
Birch,SES,53,54
Birch,SEL,55,56
Grey,S,57,58
Grey,SE,59,60
Grey,SES,61,62
Grey,SEL,63,64
Gold,S,65,66
Gold,SE,67,68
Gold,SES,69,70
Gold,SEL,71,72
Tan,S,73,74
Tan,SE,75,76
Tan,SES,77,78
Tan,SEL,79,80
Graphite,S,81,82
Graphite,SE,83,84
Graphite,SES,85,86
Graphite,SEL,87,88
Silver,S,89,90
Silver,SE,91,92
Silver,SES,93,94
Silver,SEL,95,96
